BreakProb BreakDist Tau DeltaPhi PhiInf NLC
0.01 1.2 132480.0 0.1755559519589061 0.37984654786089583 4.831999999999994
0.01 1.4 198720.0 0.15708517180017262 0.40723063640550256 0.8319999999999936
0.01 1.6 88320.0 0.10016080657166138 0.4592150203655837 1.4080000000000013
0.01 1.8 88320.0 0.07796090905603703 0.4890967454658909 0.6400000000000006
0.003 1.2 408480.0 0.15116076870697082 0.4180084353787836 1.215999999999994
0.003 1.4 176640.0 0.10789132095726972 0.44973944495931495 1.2800000000000011
0.003 1.6 121440.0 0.061435362832582885 0.4986361946407092 1.0879999999999939
0.003 1.8 0.0 nan nan 0.5759999999999934
0.001 1.2 419520.0 0.09779865876767069 0.468255075018849 1.0879999999999939
0.001 1.4 99360.0 0.044004019438901976 0.5345507649455702 1.3760000000000048
0.001 1.6 66240.0 0.03561037434063341 0.5317850669080789 0.8960000000000008
0.001 1.8 44160.0 0.044055371023179024 0.5266727472603618 1.5040000000000049
0.0003 1.2 452640.0 0.10318711916163625 0.4616402998290118 0.9599999999999937
0.0003 1.4 99360.0 0.05587077911841931 0.5211680507085744 1.5360000000000014
0.0003 1.6 44160.0 0.024881308239357747 0.5447873819078601 0.8319999999999936
0.0003 1.8 750720.0 0.01580665296829764 0.5490894051771684 1.215999999999994
0.0001 1.2 287040.0 0.023097228762523292 0.5761319435236026 0.35200000000000387
0.0001 1.4 242880.0 0.031674198195210446 0.5476064433231083 0.8319999999999936
0.0001 1.6 132480.0 0.028592152644273172 0.5462754142479802 0.8960000000000008
0.0001 1.8 33120.0 0.03305156745570259 0.5351668243844501 0.9599999999999937
